picture_name,robot_pose,line,direction
picture_0.jpg,"[-0.047268223877284014, -0.5554502047411776, 0.10005212888770393, 0.7084984750249158, 0.7057123427131072, -1.3448545025095247e-05, 6.991662307336106e-06]",0,start_pose
picture_1.jpg,"[-0.047261158847231595, -0.5554456752618724, 0.10003105095920733, -0.708486163764959, -0.7057247024067054, 1.1607556428438909e-05, 5.643026657540437e-06]",0,positiv_x
picture_2.jpg,"[-0.046936334518475585, -0.5554658329493528, 0.10004896177254963, 0.7084478442318165, 0.7057631696384328, -1.728127944512378e-05, 9.30387206047795e-06]",0,positiv_x
picture_3.jpg,"[-0.04667366345612051, -0.5554644400562125, 0.10003383403040883, -0.7084721382320085, -0.7057387826383218, 2.7743137011345735e-06, 4.631265556876142e-06]",0,positiv_x
picture_4.jpg,"[-0.04634525840407989, -0.5554790530031264, 0.10003928371283938, -0.7084930786268677, -0.705717760377118, 1.4106073990465215e-05, 5.210220364075724e-06]",0,positiv_x
picture_5.jpg,"[-0.04603178830593359, -0.555466022696593, 0.10004301108005592, -0.7084951181530228, -0.7057157129320585, 7.643175044610831e-06, 3.963890936426798e-06]",0,positiv_x
picture_6.jpg,"[-0.045666791629913814, -0.5554345400398061, 0.0999999236969083, -0.708497791466885, -0.7057130281794827, -8.019665891153211e-06, 3.577675552855003e-05]",0,positiv_x
picture_7.jpg,"[-0.045340763366422024, -0.5554492855159642, 0.10004019133833203, -0.7085017213388132, -0.7057090837100085, 2.6353022312722454e-06, 4.7089673441019525e-06]",0,positiv_x
picture_8.jpg,"[-0.044989193194831974, -0.5554499198813388, 0.10004110727952681, -0.7084907987497293, -0.7057200491952202, 7.887834066817437e-06, 1.3734938705119082e-05]",0,positiv_x
picture_9.jpg,"[-0.04469749588651427, -0.5554459251852545, 0.10002073115830523, -0.7084951599268361, -0.7057156705257039, 5.278055075351494e-07, 2.7100265868792773e-05]",0,positiv_x
picture_10.jpg,"[-0.044322556860700586, -0.5554619577582205, 0.10005751630291837, 0.7084873506467299, 0.7057235105688356, -2.391810258980417e-05, 5.648080675855322e-06]",0,positiv_x
picture_11.jpg,"[-0.043998391771728915, -0.5554976714169823, 0.10004398993333075, 0.7084940713528686, 0.7057167606062514, -4.340088046241334e-05, 5.266515821814218e-05]",0,positiv_x
picture_12.jpg,"[-0.043648042637533684, -0.5554803547365499, 0.10003767078123638, 0.7084941742808485, 0.7057166591296022, -2.9894677521909106e-05, 3.381359960391722e-05]",0,positiv_x
picture_13.jpg,"[-0.043339101447165386, -0.5554726343265045, 0.10004645577203342, 0.708494409335506, 0.7057164236753507, -3.0790481406229674e-05, 1.863200283756434e-05]",0,positiv_x
picture_14.jpg,"[-0.04300087956970823, -0.5554128864161832, 0.10002007942773489, -0.7084932867523271, -0.7057175502970287, -1.918589347234967e-05, 3.823018869438495e-05]",0,positiv_x
picture_15.jpg,"[-0.04266815783140649, -0.5554160844447753, 0.10002864724301014, -0.7084878630789335, -0.7057229956423801, -1.6770990597154564e-05, 3.1782472194303476e-05]",0,positiv_x
picture_16.jpg,"[-0.04233839435562592, -0.5554264468855875, 0.10003881649905211, -0.7084935689146171, -0.7057172679242255, -7.850210238253226e-06, 2.232867779492937e-05]",0,positiv_x
picture_17.jpg,"[-0.041998458189307794, -0.5554744040159009, 0.10002612125497412, 0.7084834899848624, 0.7057273859908002, -2.508557847084692e-05, 2.1264413869306012e-05]",0,positiv_x
picture_18.jpg,"[-0.0416460307127243, -0.5554726636069796, 0.10002102422720188, 0.7084933345572055, 0.7057175029802741, -2.6537310920432162e-05, 1.3079349405663868e-05]",0,positiv_x
picture_19.jpg,"[-0.041326125903408915, -0.555455646750005, 0.10002004886679505, -0.7084770011035869, -0.7057339007260398, 1.5513108866937606e-05, 5.7113645244601775e-06]",0,positiv_x
picture_20.jpg,"[-0.040997710935271235, -0.5554471815994029, 0.10002618004171748, -0.7084909995103851, -0.7057198477162495, 1.0179229564206534e-05, 6.965085520565438e-06]",0,positiv_x
picture_21.jpg,"[-0.040669611215867194, -0.555462276216683, 0.1000328989078127, 0.7084961468817731, 0.70571467993719, -1.917040979969729e-05, 2.7066432442570417e-06]",0,positiv_x
picture_22.jpg,"[-0.04033965431770259, -0.5554638683074316, 0.10003386700863287, 0.7085006573274237, 0.7057101518121208, -1.3210948049502014e-05, 4.625220580578903e-06]",0,positiv_x
picture_23.jpg,"[-0.04002567584275363, -0.5554451415419221, 0.10002348217636126, -0.7085012225050719, -0.7057095842176474, 2.365300146018008e-06, 2.1132421016909958e-05]",0,positiv_x
picture_24.jpg,"[-0.039675874913716824, -0.555436181926667, 0.10003177037693833, -0.708498454542756, -0.7057123632053012, 4.937008276762355e-06, 1.7474021255130735e-05]",0,positiv_x
picture_25.jpg,"[-0.03935787489899319, -0.5554400892357226, 0.10003699153531265, -0.7084998263258543, -0.7057109862060801, 3.975573002657812e-06, 5.335827849819838e-06]",0,positiv_x
picture_26.jpg,"[-0.03898458836801275, -0.5554394499153833, 0.10002909528911696, -0.7084794247209381, -0.7057314677278786, 2.938365827126536e-06, 1.4039547171318082e-05]",0,positiv_x
picture_27.jpg,"[-0.03867109475352792, -0.555440006795939, 0.100031303471939, -0.7084890021646574, -0.7057218527975634, -4.0167448558882045e-06, 1.672029477712103e-05]",0,positiv_x
